policy_id,age,vehicle_price,annual_premium,claim_amount,accident_severity,past_claims,policy_tenure_months,fraud_reported
103,41,326108,47913,136570,1,4,91,0
104,43,1262958,36497,50098,1,1,88,0
105,42,1332867,44256,195458,2,3,35,0
106,62,563339,58889,112169,1,4,46,0
107,58,347550,41618,140641,0,1,42,0
108,46,1480626,54841,126060,2,0,118,0
109,32,632882,51332,187954,0,2,39,1
110,62,537827,31526,130544,1,2,90,1
111,18,1247843,59327,340,2,2,49,0
112,42,795603,35158,175021,1,4,62,0
113,24,588349,30032,82302,1,1,38,1
114,26,1262729,42846,193515,1,5,23,0
115,41,1226919,49936,138,0,5,22,0
116,18,1489349,34794,131430,2,5,4,0
117,61,1303894,10448,119619,0,4,49,0
118,25,594030,55331,85376,0,3,59,0
119,41,276077,33861,99931,0,0,73,0
120,28,1076906,33141,161726,0,0,68,0
121,68,333515,14074,156951,0,2,71,0
122,34,1193497,11406,81532,2,2,87,1
123,25,1455564,36823,55778,0,5,2,0
124,52,325885,28291,37772,0,5,49,0
125,52,1096209,46568,58478,0,2,88,0
126,50,741656,37003,195425,0,1,104,0
127,22,870688,51851,26762,1,3,119,0
128,59,388014,39406,144355,0,3,95,1
129,56,291751,59823,194994,0,3,111,0
130,58,430203,28312,170492,0,3,31,0
131,45,1013738,48108,55568,0,2,111,0
132,24,895275,6382,85090,0,0,40,0
133,26,1023651,39171,20219,0,2,48,0
134,25,1460527,46779,57169,1,3,51,1
135,29,395716,8292,74965,2,2,43,0
136,51,784567,46779,177912,0,3,98,0
137,50,515172,38187,175767,3,4,55,1
138,65,1090695,17411,84754,0,5,88,0
139,72,200126,42285,77988,0,0,49,0
140,40,1038761,57454,189414,3,4,90,0
141,41,1276208,20422,150023,0,1,80,0
142,54,700315,47468,132379,2,2,57,0
143,52,1358521,37371,80388,0,1,111,0
144,61,517320,10693,90768,0,2,77,0
145,57,1499445,38535,35428,0,5,15,0
146,39,941426,56196,92021,1,4,27,0
147,44,698716,19818,118418,1,5,68,0
148,52,1243917,36238,170047,1,3,80,0
149,18,1423975,35874,132212,0,5,64,0
150,52,662120,31715,155914,0,5,94,0
151,54,1383445,32605,26421,0,3,108,0
152,64,378954,39317,1708,0,2,30,0
153,31,869078,36174,134702,2,3,36,0
154,20,1283136,14956,150667,0,4,67,0
155,18,484260,43908,76021,2,5,86,0
156,22,332717,15837,159380,2,3,113,0
157,43,1427171,8716,44789,0,5,86,0
158,72,848373,9481,186762,1,4,114,0
159,31,579862,29282,26086,0,1,114,1
160,56,694592,11548,16859,0,4,119,0
161,44,1348734,56445,7684,0,0,49,1
162,26,1417078,42605,91088,1,0,76,0
163,32,530388,12758,132279,0,0,55,0
164,32,518408,48668,46099,0,5,85,0
165,43,668276,28177,198568,0,2,56,1
166,59,1214920,29022,66093,0,2,68,0
167,30,257545,45761,160761,1,2,95,0
168,68,711411,10542,48651,1,5,44,1
169,49,1025656,30476,13893,0,4,31,0
170,56,1220020,35784,66418,0,2,58,0
171,66,1084377,27740,125074,1,1,87,0
172,69,213224,29817,103065,0,0,118,0
173,49,240738,52596,130351,1,4,53,0
174,21,1142654,21052,191083,0,0,84,0
175,47,1429336,40153,38635,0,2,79,0
176,54,1217433,52076,187187,0,4,23,0
177,40,666725,58420,95071,0,3,28,1
178,56,863937,5671,78518,1,1,16,0
179,62,1374737,5163,106233,0,2,37,0
180,32,1044193,46424,103651,1,2,21,0
181,60,498512,49002,72805,2,1,79,0
182,46,862143,58744,190026,0,1,17,0
183,53,766202,9795,159136,1,3,114,0
184,30,1450155,15634,122813,0,2,37,0
185,49,852026,9798,79063,0,5,77,0
186,24,1196530,27420,2454,1,2,19,0
187,68,971253,56507,20878,0,0,30,0
188,39,704471,34300,182170,1,4,45,0
189,45,1006388,29345,193226,0,4,18,0
190,19,1467543,15749,144063,1,0,78,0
191,59,583152,43595,68344,2,4,62,0
192,62,1154652,30121,104946,2,1,36,0
193,74,294270,42487,36593,1,4,100,0
194,70,1245482,33411,36304,1,4,84,0
195,23,1395889,38361,161458,1,0,52,0
196,45,358768,26223,186292,1,3,19,0
197,45,1495302,12394,113613,0,4,109,0
198,61,770451,19056,152155,0,5,44,0
199,61,219816,33380,18354,0,4,7,1
200,37,1167344,31035,22190,3,3,44,0
201,47,957907,35620,6142,0,0,117,0
202,28,514997,24877,159470,0,3,68,0
203,72,1404565,48404,183043,0,0,34,0
204,45,1455100,56824,41862,1,1,66,0
205,42,1238896,58352,184482,1,0,69,0
206,56,1400454,35911,150575,0,1,55,0
207,50,930880,37784,125438,0,1,10,0
208,18,981452,8191,48456,2,0,96,0
209,74,333554,38160,100167,0,5,42,1
210,44,651282,30000,82035,0,2,41,0
211,74,1342077,44040,8016,1,0,77,0
212,69,464223,54723,2384,2,4,103,0
213,30,1308252,8631,193392,0,5,69,0
214,58,1422108,11172,146144,1,5,10,0
215,20,797135,47080,102239,2,4,10,0
216,56,420178,28561,111431,0,2,102,0
217,23,1398097,29817,80018,3,5,91,1
218,25,626752,25281,40510,1,1,60,0
219,44,788365,33671,180005,1,2,51,0
220,26,1024690,56431,21826,1,4,21,0
221,54,903662,30364,68026,0,2,8,0
222,50,1386293,46674,121668,0,0,65,0
223,68,762288,32425,156590,0,2,92,0
224,59,500709,54927,24045,0,1,113,0
225,61,1143026,33602,181948,0,0,103,0
226,41,1434816,28253,90102,2,3,78,0
227,32,1327199,56399,51919,2,4,85,0
228,71,1217289,28472,99441,1,4,30,0
229,49,1107425,54230,158175,2,2,85,0
230,49,383675,13080,167260,1,5,49,0
231,41,852465,12099,136917,0,0,9,0
232,58,1465030,58078,167746,0,3,17,0
233,69,1198748,30431,118325,0,0,69,0
234,66,1358151,36186,19337,1,4,58,0
235,66,1233024,52684,153385,0,0,57,0
236,69,1456182,35111,158015,1,3,62,0
237,29,705815,44851,77949,0,5,95,0
238,56,276218,27614,276,1,2,52,0
239,19,787518,31724,51151,2,1,61,0
240,20,970044,46991,148683,1,0,40,0
241,66,649589,9940,143016,3,1,38,0
242,54,678446,57423,52887,2,4,43,0
243,66,662052,33758,81442,2,2,63,0
244,73,1288562,41224,49847,2,2,19,0
245,34,547739,12788,58653,2,0,100,0
246,66,672327,33082,56622,1,5,50,0
247,19,797794,29034,27810,0,2,33,0
248,19,234911,40479,77842,0,0,13,1
249,45,625037,16280,122225,1,0,78,0
250,71,930399,23052,10503,0,1,97,0
251,40,1178039,21531,84761,0,2,62,0
252,54,1099885,27804,168048,3,0,93,0
253,49,808746,33903,126439,2,1,43,0
254,50,1260751,49857,11590,2,3,49,0
255,18,1105667,15142,141958,0,1,36,1
256,36,516915,54517,143938,0,1,108,0
257,19,699876,53355,66624,0,0,10,0
258,70,811213,14866,199971,0,4,95,0
259,61,968734,9531,163864,0,4,6,0
260,43,1314934,50454,140836,0,5,57,0
261,49,247057,43098,120356,2,4,1,0
262,23,454726,43278,42727,1,1,71,0
263,49,478176,33138,78471,0,5,58,0
264,72,908754,32065,8068,0,0,91,0
265,21,1137583,34956,116923,0,2,21,0
266,72,1415868,46732,138367,0,1,92,0
267,28,344931,44261,172232,2,1,80,0
268,73,362491,15759,11390,0,5,56,0
269,34,601921,10439,106752,0,0,110,0
270,55,460910,52241,151203,0,3,87,0
271,41,1271812,47533,94754,0,1,116,0
272,22,287955,33270,75969,1,3,20,0
273,69,827433,18279,146110,1,3,102,0
274,51,1479361,44279,183399,1,4,54,0
275,23,1343490,49251,77064,0,0,25,0
276,39,407990,28888,21281,1,3,28,0
277,28,578387,22630,54189,1,0,5,0
278,65,738884,57991,48511,2,4,21,0
279,33,1196261,40144,122115,0,0,18,0
280,50,1442845,57161,8605,0,1,47,1
281,26,592417,36182,100318,1,3,70,0
282,23,1180020,30538,132453,1,0,57,0
283,33,338155,16824,197706,0,2,93,0
284,46,1369250,55979,19810,0,0,19,0
285,20,1106739,37125,155394,0,3,97,0
286,37,743351,11979,41869,2,4,65,0
287,53,267642,31189,32955,0,4,109,0
288,36,290093,47600,61388,2,3,3,0
289,43,417215,17504,10207,0,1,42,0
290,20,235954,25669,198700,2,1,21,0
291,36,1276432,11910,159292,2,4,99,0
292,37,726861,51857,22031,0,4,105,0
293,49,759655,39964,80807,2,3,40,0
294,24,695553,25131,71312,0,1,67,0
295,69,962092,30227,59766,2,4,25,0
296,58,1086040,10978,143521,1,1,109,0
297,50,522918,26991,89833,0,4,102,0
298,57,1272328,22153,187771,1,0,109,0
299,56,1041461,38548,111041,3,2,55,0
300,35,348757,47676,116185,0,5,84,0
301,57,316739,44071,177164,1,0,52,0
302,18,1486585,52454,194743,1,5,44,0
303,28,980316,8983,10350,2,4,109,0
304,45,1456556,14503,100859,0,2,98,0
305,74,536676,34921,68487,0,2,85,0
306,42,1214929,21905,148694,0,4,56,0
307,67,523412,50838,123853,1,4,55,0
308,40,685417,28953,53117,0,1,112,0
309,48,388456,31806,189466,2,4,87,0
310,47,755941,50000,101084,0,3,70,0
311,59,1406305,27168,23782,1,4,115,0
312,52,428504,9583,28454,0,3,117,0
313,24,852665,43714,67904,0,4,77,0
314,33,773044,59093,129936,0,1,113,0
315,43,1289385,54145,146664,0,3,87,0
316,65,916756,44896,153245,1,0,73,0
317,74,251226,16889,164276,2,3,81,0
318,69,699512,32413,166668,1,1,66,0
319,66,1277978,17275,165396,3,5,19,0
320,19,1252839,7461,122258,2,3,83,0
321,18,1240993,19291,111668,1,4,7,0
322,65,1426476,51804,192274,2,4,118,0
323,29,772212,16435,124184,1,5,63,0
324,22,536326,32935,161822,0,1,42,0
325,54,424137,38453,16566,1,2,42,0
326,49,1129168,23544,138262,0,4,59,0
327,72,563476,17258,38333,1,0,20,0
328,26,891757,35841,121929,1,1,73,1
329,58,590719,59493,89571,0,3,17,0
330,52,1349947,53758,120263,0,3,27,0
331,36,762997,54190,132661,2,0,47,0
332,65,1233578,15736,25235,1,4,2,0
333,33,1440768,42643,159,0,1,63,0
334,20,1398898,55408,143217,1,0,62,0
335,37,221172,48950,162993,1,4,100,1
336,41,735843,39964,104859,0,1,19,0
337,71,1196121,33044,147309,3,3,17,0
338,73,781780,44933,107507,1,1,69,0
339,50,908362,20997,139316,0,5,39,0
340,41,713319,19215,14743,2,2,82,0
341,69,980298,38069,46101,2,1,117,0
342,28,1076031,28911,121534,0,2,118,0
343,66,1470896,22030,84227,0,1,71,0
344,25,1259622,34334,187450,0,2,81,1
345,53,428071,19571,71126,1,5,39,0
346,55,578165,47719,56071,1,3,36,0
347,57,908662,33927,74763,1,4,40,1
348,37,616366,25714,143309,2,2,45,0
349,52,1212117,48541,146721,1,5,4,0
350,65,845188,28387,168785,0,2,102,0
351,42,615008,33444,176481,0,3,25,0
352,52,1454126,53908,179838,0,2,69,0
353,42,444883,24921,46154,0,5,30,0
354,46,1149491,18057,7016,1,5,76,0
355,35,871210,50268,179760,2,0,68,0
356,63,1129616,58710,89678,0,3,88,0
357,35,1370365,29858,112056,1,0,29,0
358,19,879418,53689,54238,1,3,73,0
359,71,900780,49638,58608,0,2,68,0
360,52,1314593,31062,89081,0,5,51,0
361,33,1426952,41850,162969,0,0,24,0
362,58,699137,51486,50961,0,2,14,0
363,53,856884,25567,199775,2,5,69,0
364,50,824712,34739,175829,0,3,18,0
365,21,893264,48285,26917,0,5,42,0
366,50,1041344,8754,153808,0,2,57,0
367,31,807847,32044,27990,3,0,83,0
368,38,1303913,6724,62551,0,0,12,0
369,65,1097048,6376,189233,0,5,82,0
370,37,1272930,13706,153512,0,2,17,0
371,73,1293762,13894,166277,0,1,30,0
372,25,752433,23037,80811,0,3,88,0
373,24,627236,23450,55103,1,3,75,0
374,20,940829,21406,172699,0,2,99,0
375,34,485195,56612,106122,0,1,23,0
376,50,775762,34725,19008,2,0,81,0
377,65,816036,10926,32402,0,4,1,0
378,29,1374571,44019,184456,0,4,79,0
379,68,1494266,14496,136865,0,2,32,1
380,39,993392,41068,136643,3,1,9,0
381,72,628988,34806,147281,0,1,15,0
382,39,380553,27663,113550,2,3,28,0
383,63,760696,46321,174220,1,0,24,1
384,47,1080438,41495,91218,0,5,60,0
385,55,519278,27656,133296,3,1,35,1
386,55,1400139,30860,179767,0,5,86,0
387,62,899983,54666,120779,0,4,27,0
388,68,593554,21832,129714,2,5,83,0
389,71,1451079,43787,32441,1,0,109,0
390,25,1391902,53231,170201,1,0,76,0
391,44,1259920,26727,62368,0,5,20,0
392,44,594966,47815,92122,0,2,65,1
393,51,305423,34545,44760,1,1,85,0
394,38,520197,49522,23478,0,2,49,0
395,47,664071,7520,127881,0,5,109,0
396,50,871256,8081,71854,0,1,1,0
397,45,386833,39196,94230,0,3,10,0
398,64,917912,41735,85716,2,2,47,0
399,50,975435,44213,143252,0,2,59,0
400,22,277454,19566,98538,3,5,96,1
401,65,1109164,19042,15372,0,4,62,0
402,36,1145439,30498,29796,1,5,103,0
403,21,237641,16329,189344,0,2,86,0
404,52,812121,36656,98826,0,1,18,0
405,66,518420,7159,120592,0,4,112,0
406,34,481685,42900,93635,0,5,46,0
407,61,1293389,56699,111022,0,5,32,0
408,45,864180,24363,54040,3,2,27,0
409,47,486214,52701,75357,1,2,92,0
410,46,1128626,48241,78356,0,3,18,0
411,63,542703,24033,16211,0,5,39,0
412,70,404615,15805,105426,0,2,49,0
413,23,599953,40851,5842,1,0,93,1
414,52,1171741,31832,194187,1,4,82,0
415,58,1038003,55189,66852,2,0,44,0
416,54,481570,18944,125737,0,4,72,0
417,41,1285841,24873,45968,0,5,54,0
418,46,1497897,45372,17508,0,3,95,0
419,66,266150,28928,153077,1,2,34,0
420,63,1338189,20379,54575,1,2,71,0
421,70,537054,56786,150043,1,2,36,1
422,48,321826,41751,156671,1,5,18,0
423,52,759723,39546,66914,0,4,38,0
424,50,650348,29286,67055,1,2,59,0
425,69,1458593,10110,87697,0,0,9,0
426,38,1199554,59341,106239,1,2,73,0
427,49,334055,17087,123106,0,5,110,0
428,40,690457,28762,5355,0,3,72,0
429,50,876022,55276,54120,2,0,51,0
430,20,1009942,22081,38342,2,2,35,0
431,35,896358,39947,2257,2,2,82,0
432,42,1342647,14596,27364,0,1,5,0
433,59,1041052,43019,156044,1,4,14,0
434,48,346389,47003,111715,0,0,92,0
435,71,469708,23313,26654,2,1,30,0
436,20,838112,52639,81423,0,3,4,0
437,57,1211727,6013,29320,3,4,39,0
438,63,454444,54378,20808,2,0,84,0
439,41,803561,28705,52389,1,2,64,0
440,67,1061291,6828,118581,0,0,25,0
441,49,411837,12909,127927,0,2,28,0
442,64,310017,43356,34773,2,4,76,0
443,39,323618,18109,182240,0,2,66,0
444,40,659297,7023,158819,2,3,107,0
445,19,1373917,59118,76396,0,5,78,1
446,44,1220154,19537,107692,0,2,22,0
447,59,1015862,31661,57505,2,3,31,0
448,19,752076,43659,85896,1,5,23,0
449,43,950865,38848,18135,1,4,48,0
450,34,641759,42804,90887,1,4,20,0
451,57,1082554,20379,122118,0,0,38,0
452,50,1093741,32766,47377,1,3,55,0
453,26,740659,48590,154626,0,3,68,0
454,60,622845,7563,62491,2,1,79,0
455,71,906544,41060,186693,2,1,88,0
456,65,524060,34197,58283,0,5,89,1
457,56,1441835,8586,16923,1,5,1,0
458,46,475128,21087,47591,1,1,7,0
459,59,1019471,53868,62261,0,5,57,0
460,72,809719,58583,54336,3,2,95,0
461,43,1070123,28225,74083,0,1,12,1
462,52,1045038,34750,60948,0,3,106,0
463,67,1089097,11643,164074,0,2,5,0
464,42,1429720,32523,26672,0,5,108,0
465,41,450195,41727,4213,1,4,50,0
466,30,1392324,16005,141365,1,0,42,0
467,24,232733,48543,186932,1,1,102,0
468,74,726338,5161,62507,1,4,12,0
469,53,309996,21029,57134,0,5,103,0
470,62,758221,54745,133172,0,3,18,0
471,37,749239,19226,193069,0,0,66,0
472,18,756701,33731,28172,0,4,74,0
473,25,1414449,48922,20132,1,0,79,0
474,63,1150417,49848,18199,0,1,94,0
475,33,1099005,8390,36609,0,5,108,0
476,31,1236580,10997,174037,0,3,17,0
477,29,633816,17693,139088,2,5,68,0
478,68,1470464,54815,170851,2,0,71,1
479,40,985332,47092,31881,1,4,62,0
480,32,967950,5541,24472,2,1,41,1
481,45,366472,26817,182885,1,1,95,0
482,51,597710,42861,167093,1,5,115,0
483,19,411760,18428,54131,0,4,119,0
484,49,322744,48934,155159,1,4,103,0
485,40,1291577,55019,12828,1,0,119,0
486,39,791652,53831,192682,1,5,34,0
487,68,1111420,15258,96664,1,5,70,0
488,42,1031460,21044,132473,0,2,114,0
489,39,438506,34411,15193,1,5,102,0
490,39,953019,10469,175936,2,1,45,0
491,66,630789,33854,151379,0,0,58,0
492,69,1110775,11256,102518,1,4,51,0
493,59,1112727,15720,19611,0,5,34,0
494,23,699722,38937,174863,1,0,44,0
495,32,758924,38598,143022,1,5,15,0
496,71,379352,6651,76240,0,4,78,0
497,60,1010694,55288,2745,1,3,70,0
498,54,393283,24194,55243,0,4,50,0
499,50,1172346,30051,3866,1,4,101,0
500,25,1115015,32386,163317,0,4,114,0
501,70,1198974,14518,175796,1,5,32,0
502,61,631413,51026,128681,0,2,67,0
503,61,526898,21184,71354,1,4,3,0
504,22,1151661,38787,51374,0,1,86,0
505,56,1063561,26621,114397,2,1,86,0
506,21,502186,15028,124577,2,0,74,0
507,23,1310241,17448,161188,3,2,51,0
508,62,1495160,50253,81029,1,0,67,0
509,49,1365529,39051,93574,1,1,76,0
510,69,676072,54811,151519,0,1,93,0
511,47,1226553,35447,30431,0,3,48,0
512,64,1435202,23394,148980,0,4,17,0
513,52,345271,39501,29336,1,1,7,0
514,72,318533,35254,40992,2,5,13,0
515,57,1168452,23509,55350,0,5,66,0
516,69,266262,56323,69561,2,0,4,0
517,33,1033032,53998,51955,1,0,10,1
518,30,276898,19472,61240,1,4,103,0
519,67,655699,50657,151165,0,4,88,0
520,59,1397945,8471,137227,0,3,17,0
521,47,754736,46796,46607,1,2,52,0
522,36,488316,59776,164559,1,0,6,0
523,34,1256233,35268,186740,0,4,83,0
524,73,677602,13329,152035,1,0,69,0
525,36,1144189,39865,181196,2,4,96,0
526,45,1239504,51850,52870,2,1,74,0
527,72,574999,59220,187619,2,0,9,0
528,43,207906,51698,64110,0,1,91,0
529,54,993719,33272,184626,0,0,77,0
530,43,1046936,47845,152008,1,2,83,0
531,70,915080,11397,116895,0,3,21,0
532,40,234701,37373,4426,0,5,24,0
533,26,1331876,40525,27606,0,5,102,0
534,29,965537,58072,178904,0,5,4,0
535,70,283560,29570,28151,0,1,24,0
536,18,442615,23284,11308,0,4,59,1
537,18,243642,23994,193594,0,5,99,0
538,64,717083,28284,176743,0,2,3,0
539,51,691036,22833,90306,1,5,68,0
540,49,527304,30122,106984,1,0,101,0
541,71,565464,10017,2204,1,1,40,0
542,65,813089,21370,92769,0,0,48,0
543,42,1342953,34252,87265,0,0,54,1
544,57,526916,12999,31131,1,0,35,0
545,62,512250,27436,52428,1,3,95,0
546,70,805409,47963,33870,0,3,56,0
547,18,1274135,7096,103547,0,4,108,0
548,33,1092027,53201,49067,2,1,89,0
549,56,758030,30279,189657,0,2,40,0
550,22,1056101,48363,112217,0,2,77,0
551,39,1383620,53709,152679,1,2,68,0
552,46,1360793,31201,156040,0,0,46,0
553,72,1092964,24715,98934,0,3,78,0
554,20,603119,34309,142980,0,1,13,0
555,29,858380,20078,157495,1,0,27,0
556,43,1335564,10105,74707,0,3,6,0
557,33,769936,57130,61215,0,3,17,0
558,68,325991,34312,186907,0,5,36,0
559,54,602732,7839,49429,2,5,104,0
560,39,706079,8384,82152,0,1,113,0
561,74,726684,48619,108048,3,1,99,0
562,46,1332658,47821,169530,0,1,81,0
563,31,328322,18493,177241,3,0,105,0
564,45,856951,22069,138731,2,4,2,1
565,22,211303,51907,191686,0,1,77,0
566,64,1410209,12531,77240,0,5,52,0
567,66,1498266,42051,163865,0,4,66,0
568,47,1209612,12736,113688,0,0,52,0
569,63,299616,12710,46473,1,4,92,0
570,69,1110597,6619,96762,0,2,43,0
571,22,1334807,18975,106956,0,4,90,0
572,29,469458,50603,118452,0,1,22,0
573,33,1268199,28252,186823,2,0,111,1
574,43,923035,20261,126311,0,1,107,0
575,43,690042,6431,185326,0,5,55,0
576,65,658298,14067,7006,0,2,67,0
577,38,1247343,42481,74218,2,5,99,0
578,56,305228,32037,196416,1,1,60,0
579,53,626346,14557,164912,0,1,58,0
580,50,1084056,14435,32430,0,1,12,0
581,47,1317850,42766,23091,0,3,88,0
582,54,1382117,5162,164055,0,2,69,0
583,40,1302523,39742,23989,2,1,84,0
584,27,1443268,24675,75451,1,1,103,0
585,71,248874,13461,18990,0,5,39,0
586,22,1323129,22015,90270,2,5,13,0
587,53,792632,55057,80360,0,1,41,0
588,51,909662,37591,36081,1,0,57,0
589,69,771926,33047,142105,2,3,53,0
590,48,1326825,39782,108272,0,5,109,1
591,27,727007,14833,16241,1,0,12,0
592,36,878250,12896,124932,0,3,13,0
593,49,670452,37972,5939,0,1,74,0
594,18,242534,54733,113000,0,2,97,0
595,73,695518,59827,178634,0,4,57,0
596,22,816529,46800,35063,1,4,40,0
597,62,612003,35508,158117,2,1,118,0
598,21,326209,10347,175841,1,5,80,0
599,33,642061,35314,47118,2,0,45,0
600,41,1437580,7643,84703,2,2,35,0
601,33,816412,45785,152697,0,3,3,0
602,72,364134,23681,128557,0,1,5,0
603,19,1324289,55026,27076,0,2,90,0
604,66,688972,43328,195877,1,2,11,0
605,45,1177965,20892,44605,2,5,71,0
606,49,1323994,52299,84565,0,3,117,0
607,44,1184176,22073,39121,1,2,56,0
608,37,1376808,41768,196173,1,5,10,0
609,41,720551,35682,31433,1,0,106,0
610,29,363038,37262,43309,0,5,116,0
611,67,1190049,36358,67468,0,0,34,0
612,52,1130491,19289,175326,0,0,67,0
613,50,1416959,54823,67293,0,2,72,0
614,50,458722,12927,96258,0,5,31,0
615,68,332079,53330,168925,1,0,75,0
616,60,402053,6171,38405,0,3,109,0
617,54,800530,59743,197724,2,2,71,0
618,29,1427165,16918,43527,0,5,109,0
619,20,1277833,46903,77227,1,5,66,0
620,18,680488,44110,131564,0,4,70,0
621,50,635423,55601,139883,1,5,41,0
622,57,1392929,16929,93344,2,2,63,0
623,27,523390,7539,155344,0,3,32,0
624,60,463579,41727,47153,0,5,20,1
625,61,1478523,50951,108042,1,4,57,0
626,46,1480334,27669,54110,0,2,98,0
627,30,1406308,10432,145051,0,0,50,0
628,29,1199701,25644,28328,0,1,80,0
629,48,1131011,23745,112911,0,1,25,0
630,63,338563,33228,12867,1,0,12,0
631,19,983066,57822,59234,0,5,71,0
632,68,905552,39521,25851,2,1,39,1
633,67,526032,36703,31279,1,1,17,0
634,52,797897,31928,73402,1,0,45,0
635,40,972800,23322,15449,1,5,11,0
636,34,1363950,27360,76221,2,5,70,0
637,43,749148,34055,89080,0,0,23,0
638,25,876555,47891,5451,2,5,91,0
639,46,801763,21376,87178,1,5,110,0
640,43,684090,11588,172388,1,2,70,0
641,27,1073698,30000,194136,1,2,38,0
642,43,876787,11304,63761,0,0,2,0
643,51,942406,12345,38870,0,3,86,0
644,68,1043804,34300,96566,1,1,84,0
645,58,848074,29259,123749,0,2,89,0
646,24,1161568,30470,123765,1,1,79,1
647,21,1280174,28017,124881,0,4,113,0
648,70,489226,20352,161945,0,0,93,0
